2015-09-24 20:33:44,751 FATAL [default] CRASH HANDLED; Application has crashed due to [SIGSEGV] signal
2015-09-24 20:33:44,768 WARN  [default] Aborting application. Reason: Fatal log at [c:\users\malazath\documents\visual studio 2013\projects\jinxcore\jinxcore\libs\easylogging++.h:5637]
2015-09-24 20:56:18,746 FATAL [default] CRASH HANDLED; Application has crashed due to [SIGSEGV] signal
2015-09-24 20:56:18,749 WARN  [default] Aborting application. Reason: Fatal log at [c:\users\malazath\documents\visual studio 2013\projects\jinxcore\jinxcore\libs\easylogging++.h:5637]
2015-09-24 20:56:36,696 FATAL [default] CRASH HANDLED; Application has crashed due to [SIGSEGV] signal
2015-09-24 20:56:36,699 WARN  [default] Aborting application. Reason: Fatal log at [c:\users\malazath\documents\visual studio 2013\projects\jinxcore\jinxcore\libs\easylogging++.h:5637]
2015-09-24 22:30:37,085 INFO  [default] JinxCore: Current Mouse Position: 0, 0
2015-09-24 22:30:37,089 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,092 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,096 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,113 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,129 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,146 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,163 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,179 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,196 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,213 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,230 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,246 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,263 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,280 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,296 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,313 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,330 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,346 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,363 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,379 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,396 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,413 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,429 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,446 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,463 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,480 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,497 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,513 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,529 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,546 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,563 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,580 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,596 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,613 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,630 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,646 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,663 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,680 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,696 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,713 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,729 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,746 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,763 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,779 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,796 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,813 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,829 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,846 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,862 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,880 INFO  [default] JinxCore: Current Mouse Position: 571, 290
2015-09-24 22:30:37,896 INFO  [default] JinxCore: Current Mouse Position: 571, 288
2015-09-24 22:30:37,913 INFO  [default] JinxCore: Current Mouse Position: 568, 267
2015-09-24 22:30:37,929 INFO  [default] JinxCore: Current Mouse Position: 555, 225
2015-09-24 22:30:37,946 INFO  [default] JinxCore: Current Mouse Position: 536, 185
2015-09-24 22:30:37,963 INFO  [default] JinxCore: Current Mouse Position: 519, 157
2015-09-24 22:30:37,980 INFO  [default] JinxCore: Current Mouse Position: 500, 130
2015-09-24 22:30:37,996 INFO  [default] JinxCore: Current Mouse Position: 495, 120
2015-09-24 22:30:38,013 INFO  [default] JinxCore: Current Mouse Position: 491, 115
2015-09-24 22:30:38,029 INFO  [default] JinxCore: Current Mouse Position: 487, 107
2015-09-24 22:30:38,046 INFO  [default] JinxCore: Current Mouse Position: 484, 99
2015-09-24 22:30:38,063 INFO  [default] JinxCore: Current Mouse Position: 480, 89
2015-09-24 22:30:38,079 INFO  [default] JinxCore: Current Mouse Position: 473, 74
2015-09-24 22:30:38,096 INFO  [default] JinxCore: Current Mouse Position: 467, 61
2015-09-24 22:30:38,113 INFO  [default] JinxCore: Current Mouse Position: 463, 49
2015-09-24 22:30:38,129 INFO  [default] JinxCore: Current Mouse Position: 461, 45
2015-09-24 22:30:38,146 INFO  [default] JinxCore: Current Mouse Position: 458, 42
2015-09-24 22:30:38,163 INFO  [default] JinxCore: Current Mouse Position: 458, 37
2015-09-24 22:30:38,179 INFO  [default] JinxCore: Current Mouse Position: 457, 24
2015-09-24 22:30:38,196 INFO  [default] JinxCore: Current Mouse Position: 457, 16
2015-09-24 22:30:38,213 INFO  [default] JinxCore: Current Mouse Position: 457, 9
2015-09-24 22:30:38,229 INFO  [default] JinxCore: Current Mouse Position: 456, 5
2015-09-24 22:30:38,246 INFO  [default] JinxCore: Current Mouse Position: 456, 5
2015-09-24 22:30:38,263 INFO  [default] JinxCore: Current Mouse Position: 456, 5
2015-09-24 22:30:38,280 INFO  [default] JinxCore: Current Mouse Position: 456, 3
2015-09-24 22:30:38,296 INFO  [default] JinxCore: Current Mouse Position: 456, 3
2015-09-24 22:30:38,313 INFO  [default] JinxCore: Current Mouse Position: 456, 3
2015-09-24 22:30:38,329 INFO  [default] JinxCore: Current Mouse Position: 456, 3
2015-09-24 22:30:38,346 INFO  [default] JinxCore: Current Mouse Position: 456, 3
2015-09-24 22:30:38,363 INFO  [default] JinxCore: Current Mouse Position: 456, 2
2015-09-24 22:30:38,379 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,396 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,413 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,429 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,446 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,463 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,480 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,496 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:38,513 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,807 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,811 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,814 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,830 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,846 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,863 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,879 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,896 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,913 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,930 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,946 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,963 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,980 INFO  [default] JinxCore: Current Mouse Position: 456, 1
2015-09-24 22:30:39,996 INFO  [default] JinxCore: Current Mouse Position: 444, 0
2015-09-24 22:30:40,013 INFO  [default] JinxCore: Current Mouse Position: 429, 5
2015-09-24 22:30:40,029 INFO  [default] JinxCore: Current Mouse Position: 402, 12
2015-09-24 22:30:40,046 INFO  [default] JinxCore: Current Mouse Position: 359, 21
2015-09-24 22:30:40,063 INFO  [default] JinxCore: Current Mouse Position: 314, 32
2015-09-24 22:30:40,079 INFO  [default] JinxCore: Current Mouse Position: 258, 44
2015-09-24 22:30:40,096 INFO  [default] JinxCore: Current Mouse Position: 204, 59
2015-09-24 22:30:40,113 INFO  [default] JinxCore: Current Mouse Position: 146, 77
2015-09-24 22:30:40,129 INFO  [default] JinxCore: Current Mouse Position: 83, 97
2015-09-24 22:30:40,146 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,163 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,179 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,196 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,213 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,229 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,246 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,263 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,279 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,296 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,313 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,329 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,346 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,363 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,379 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,396 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,413 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,429 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,446 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,463 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,479 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,496 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,512 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,529 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,546 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,563 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,580 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,596 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,613 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,629 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,646 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,663 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,679 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,696 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,713 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,729 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,746 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,763 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,780 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,796 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,813 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,829 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,846 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,863 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,880 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,896 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,913 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,929 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,946 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,963 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,979 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:40,996 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,013 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,029 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,046 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,063 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,080 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,096 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,113 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,130 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,146 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,163 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,179 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,196 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,213 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,229 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,246 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,263 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,279 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,296 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,313 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,329 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,346 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,363 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,379 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,396 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,413 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,430 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,446 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,463 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,479 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,496 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,513 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,529 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,546 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,563 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,579 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,596 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,613 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,630 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,646 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,663 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,679 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,696 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,713 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,729 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,746 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,763 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,779 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,796 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,813 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,829 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,846 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,863 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,879 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,896 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,913 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,929 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,946 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,963 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,980 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:41,996 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,013 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,030 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,046 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,063 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,080 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,096 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,113 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,130 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,146 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,163 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,179 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,197 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,213 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,229 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,246 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,263 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,279 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,297 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,313 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,329 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,346 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,362 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,380 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,396 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,413 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,429 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,446 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,462 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,479 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,496 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,513 INFO  [default] JinxCore: Current Mouse Position: 21, 116
2015-09-24 22:30:42,530 INFO  [default] JinxCore: Current Mouse Position: 21, 116
